Date,Close,High,Low,Open,Volume,SMA_20,SMA_200,Golden Cross,Trend,stock,Adj Close
2015-05-08,595.8012084960938,602.2577658150414,592.7065897976927,592.7065897976927,224520.0,597.7085245768229,597.7085245768229,False,NEGATIVE,NESTLEIND.NS,
2015-05-11,596.6777954101562,602.2620844012819,592.8994138768184,601.1136683020108,393580.0,597.6441040039062,597.6441040039062,False,NEGATIVE,NESTLEIND.NS,
2015-05-12,587.7491455078125,600.0705288354002,585.6057169642766,597.195073883214,380690.0,597.0620476217831,597.0620476217831,False,NEGATIVE,NESTLEIND.NS,
2015-05-13,587.4905395507812,597.0592123805342,582.9757435924246,587.823672827663,345110.0,596.530297173394,596.530297173394,False,NEGATIVE,NESTLEIND.NS,
2015-05-14,600.9033203125,606.6190758582437,587.7973143107026,587.7973143107026,202420.0,596.7604562859786,596.7604562859786,False,NEGATIVE,NESTLEIND.NS,
2015-05-15,616.4026489257812,618.0419900656957,601.3987019408053,602.7005222271855,231380.0,597.7425659179687,597.7425659179687,False,NEGATIVE,NESTLEIND.NS,
2015-05-18,620.4398193359375,644.2542022293011,608.4866120327464,622.434232167945,376660.0,598.0778900146485,598.8233875093006,False,NEGATIVE,NESTLEIND.NS,
2015-05-19,618.4905395507812,629.8638841654247,607.3855732790938,624.7645882334757,261140.0,598.524624633789,599.7173489657315,False,NEGATIVE,NESTLEIND.NS,
2015-05-20,612.5859375,626.1987912421416,603.2056946041452,622.0102208599442,302550.0,598.9625701904297,600.2768528150475,False,NEGATIVE,NESTLEIND.NS,
2015-05-21,611.4685668945312,615.8771256979906,601.0059468191611,604.9569143623812,309070.0,599.4138977050782,600.743174235026,False,NEGATIVE,NESTLEIND.NS,
2015-05-22,615.6044311523438,626.4806035666368,609.6339385120897,611.5654357938256,423960.0,599.911376953125,601.3376245117188,False,NEGATIVE,NESTLEIND.NS,
2015-05-25,610.3861694335938,617.1882203026136,607.6055507185486,609.4534244656725,129150.0,600.4063415527344,601.6856454702524,False,NEGATIVE,NESTLEIND.NS,
2015-05-26,598.836669921875,615.3489423642186,575.0560565614683,612.4451184922535,628400.0,600.3310699462891,601.5801278573496,False,NEGATIVE,NESTLEIND.NS,
2015-05-27,621.4647216796875,627.8443595305586,596.2541313099861,598.8367825537129,617000.0,601.4365020751953,602.2902919224331,False,NEGATIVE,NESTLEIND.NS,
2015-05-28,621.037841796875,634.4438653686929,612.0491301144498,623.8844667772584,342150.0,603.7102203369141,602.9367591594828,True,POSITIVE,NESTLEIND.NS,
2015-05-29,594.1027221679688,621.0379812325776,577.6696114541771,615.2611068078389,1083380.0,604.6058349609375,602.6422912597657,False,POSITIVE,NESTLEIND.NS,
2015-06-01,586.9443969726562,592.4704562759022,574.6910475259899,589.5666313704334,683230.0,604.140414428711,602.1359075730846,False,POSITIVE,NESTLEIND.NS,
2015-06-02,598.6520385742188,615.9562372636005,594.4194809108635,595.9021946217299,751540.0,604.2342987060547,602.0270366668701,False,POSITIVE,NESTLEIND.NS,
2015-06-03,544.4207763671875,574.8714347852141,526.2102011710124,571.9676099684917,3904440.0,601.6370086669922,600.2813924153646,False,POSITIVE,NESTLEIND.NS,
2015-06-04,528.3616333007812,532.3697994783532,510.4194382433443,517.4106480880523,4304770.0,598.3910461425781,598.1661053825827,False,POSITIVE,NESTLEIND.NS,
2015-06-05,528.9908447265625,538.9695037415966,502.53954355655617,513.0109725409809,7561890.0,595.0505279541015,596.1896693638392,False,NEGATIVE,NESTLEIND.NS,
2015-06-08,490.0442810058594,514.7708597966956,484.0605767632724,514.7708597966956,3448690.0,589.7188522338868,593.2411863538954,False,NEGATIVE,NESTLEIND.NS,
2015-06-09,524.8331298828125,538.5295577943124,486.1725174531987,491.9229687566662,5688810.0,586.5730514526367,591.392319962785,False,NEGATIVE,NESTLEIND.NS,
2015-06-10,533.2806396484375,549.0889699219792,529.840057715179,532.3611066520853,2471500.0,583.8625564575195,589.8630652176706,False,NEGATIVE,NESTLEIND.NS,
2015-06-11,542.462890625,554.8965916283651,525.8362676082457,541.9525581630596,3028020.0,580.9405349731445,588.6476761255509,False,NEGATIVE,NESTLEIND.NS,
2015-06-12,535.64306640625,544.205015279707,521.4010797139965,544.205015279707,1046990.0,576.902555847168,587.3225608825684,False,NEGATIVE,NESTLEIND.NS,
2015-06-15,524.0146484375,532.3697697000457,518.5017485936056,532.1937689519558,730670.0,572.0812973022461,585.7784654570789,False,NEGATIVE,NESTLEIND.NS,
2015-06-16,509.0202941894531,519.082520168735,506.4112188397217,519.082520168735,874820.0,566.6077850341796,583.9508899507068,False,NEGATIVE,NESTLEIND.NS,
2015-06-17,513.7939453125,519.1704261579055,497.259652791141,505.5312030978249,1405170.0,561.6681854248047,582.3193330986555,False,NEGATIVE,NESTLEIND.NS,
2015-06-18,535.1549072265625,539.2334850972628,514.7708796764408,516.0028314699373,1189690.0,557.8525024414063,581.2474143288352,False,NEGATIVE,NESTLEIND.NS,
2015-06-19,552.6967163085938,556.5685187920461,528.8500866308613,528.8500866308613,1458410.0,554.7071166992188,580.6129543728299,False,NEGATIVE,NESTLEIND.NS,
2015-06-22,554.0694580078125,564.1493032912018,546.889087505667,552.2567626174936,789440.0,551.8912811279297,580.0359218431556,False,NEGATIVE,NESTLEIND.NS,
2015-06-23,539.22021484375,553.4886297819224,536.7783854665071,553.4886297819224,543830.0,548.9104583740234,579.1675025452959,False,NEGATIVE,NESTLEIND.NS,
2015-06-24,528.330810546875,542.3264425251049,526.306936078996,541.1693060070344,550280.0,544.2537628173828,578.1084047953287,False,NEGATIVE,NESTLEIND.NS,
2015-06-25,513.5784301757812,532.2817715490369,511.2729654937832,528.4099701017732,1365130.0,538.8807922363281,576.791466537787,False,NEGATIVE,NESTLEIND.NS,
2015-06-26,524.2874145507812,525.3301531587357,516.5306531058255,521.106403874916,758630.0,535.3900268554687,575.7413854980468,False,NEGATIVE,NESTLEIND.NS,
2015-06-29,534.2219848632812,535.6695196841036,512.6148207852814,512.6148207852814,820960.0,532.75390625,574.9272796032476,False,NEGATIVE,NESTLEIND.NS,
2015-06-30,558.9618530273438,562.4640907981221,529.9059384794548,529.9059384794548,2526930.0,530.7693969726563,574.6202521690956,False,NEGATIVE,NESTLEIND.NS,
2015-07-01,540.6810302734375,571.4397058718704,538.1775439189576,563.1681521539491,1689990.0,530.5824096679687,573.979889491819,False,NEGATIVE,NESTLEIND.NS,
2015-07-02,549.229736328125,560.9682965493563,546.8890922438038,550.8444644067629,1113290.0,531.6258148193359,573.5215533221209,False,NEGATIVE,NESTLEIND.NS,
2015-07-03,542.5067749023438,558.3238541944154,541.2572072701737,555.6840042736545,897650.0,532.301611328125,572.9576482599432,False,NEGATIVE,NESTLEIND.NS,
2015-07-06,538.555908203125,545.5646809688883,534.569708302169,545.5646809688883,386210.0,534.7271926879882,572.3433314732143,False,NEGATIVE,NESTLEIND.NS,
2015-07-07,535.4365844726562,544.6892754421573,533.2499207075077,544.6892754421573,635270.0,535.2573654174805,571.6958446837308,False,NEGATIVE,NESTLEIND.NS,
2015-07-08,527.6094360351562,533.2675101481816,524.4591988511345,533.2498939552509,1090010.0,534.9738052368164,570.9357341897899,False,NEGATIVE,NESTLEIND.NS,
2015-07-09,530.6054077148438,536.6814878067511,528.057935461906,534.5695864757927,708190.0,534.3809310913086,570.2521693342823,False,NEGATIVE,NESTLEIND.NS,
