Date,Close,High,Low,Open,Volume,SMA_20,SMA_200,Golden Cross,Trend,stock
2015-04-17,756.1707153320312,768.0205880919507,754.5043366869044,761.2161850807449,685338,756.1707153320312,756.1707153320312,False,NEGATIVE,ASIANPAINT.NS
2015-04-20,748.9035034179688,758.4852239935725,740.6178301423203,757.2817313205225,920198,752.537109375,752.537109375,False,NEGATIVE,ASIANPAINT.NS
2015-04-21,737.3776245117188,756.2634017150112,733.2116492319915,753.0694760329558,652649,747.4839477539062,747.4839477539062,False,NEGATIVE,ASIANPAINT.NS
2015-04-22,727.1477661132812,746.1723730075182,712.1039682703878,740.6177399578345,1779318,742.39990234375,742.39990234375,False,NEGATIVE,ASIANPAINT.NS
2015-04-23,728.02734375,749.8755469608234,726.7312399558597,734.2299728236056,1275295,739.525390625,739.525390625,False,NEGATIVE,ASIANPAINT.NS
2015-04-24,714.094482421875,733.6745903044185,708.2621278945196,733.6745903044185,1123939,735.2869059244791,735.2869059244791,False,NEGATIVE,ASIANPAINT.NS
2015-04-27,689.5149536132812,717.4732784754453,685.5804227313191,717.4732784754453,1625216,728.7480555943081,728.7480555943081,False,NEGATIVE,ASIANPAINT.NS
2015-04-28,708.6324462890625,711.5949290668538,675.8138056585478,686.8767963808764,2052761,726.2336044311523,726.2336044311523,False,NEGATIVE,ASIANPAINT.NS
2015-04-29,698.4024047851562,706.4565758128815,694.3289854685524,706.4565758128815,1445757,723.1412489149305,723.1412489149305,False,NEGATIVE,ASIANPAINT.NS
2015-04-30,705.8551635742188,713.6316176760063,691.7371347563716,693.681234155653,2260678,721.4126403808593,721.4126403808593,False,NEGATIVE,ASIANPAINT.NS
2015-05-04,721.5468139648438,723.490912817774,707.2899006945353,712.7056450024452,1071772,721.4248379794034,721.4248379794034,False,NEGATIVE,ASIANPAINT.NS
2015-05-05,723.3984375,726.592306464948,711.5948416592638,722.1023337862151,952716,721.5893046061198,721.5893046061198,False,NEGATIVE,ASIANPAINT.NS
2015-05-06,704.373779296875,721.1765678900117,694.4680616297074,721.1765678900117,1616619,720.2650334284856,720.2650334284856,False,NEGATIVE,ASIANPAINT.NS
2015-05-07,708.9100952148438,716.038552788258,680.3037102987302,697.384219486326,1718402,719.4539664132254,719.4539664132254,False,NEGATIVE,ASIANPAINT.NS
2015-05-08,703.0314331054688,716.9180161414895,696.8750253576392,715.6219124562671,1127201,718.359130859375,718.359130859375,False,NEGATIVE,ASIANPAINT.NS
2015-05-11,714.3720703125,718.5843221063463,696.0880711648487,710.9929795137341,976348,718.1099395751953,718.1099395751953,False,NEGATIVE,ASIANPAINT.NS
2015-05-12,702.059326171875,715.4830230891548,698.0322396985514,715.4367457800255,1137027,717.1657858455883,717.1657858455883,False,NEGATIVE,ASIANPAINT.NS
2015-05-13,705.9014892578125,717.473644819416,702.6612857005636,702.7075630218768,839420,716.5399915907118,716.5399915907118,False,NEGATIVE,ASIANPAINT.NS
2015-05-14,737.3311767578125,743.3949725178953,698.9579131394906,705.4383176321746,1975784,717.6342644942434,717.6342644942434,False,NEGATIVE,ASIANPAINT.NS
2015-05-15,731.6378173828125,757.2817206925247,726.7312356279118,742.4693642975609,1503598,718.3344421386719,718.3344421386719,False,NEGATIVE,ASIANPAINT.NS
2015-05-18,709.8359375,757.2817696446039,705.4385189109879,737.7016621674549,6759860,716.0177032470704,717.9297514415923,False,NEGATIVE,ASIANPAINT.NS
2015-05-19,717.2420654296875,721.4543179528353,694.3292017712366,701.7353799234631,3903935,714.4346313476562,717.8984929865056,False,NEGATIVE,ASIANPAINT.NS
2015-05-20,713.95556640625,720.2045290579109,707.4288833821126,718.0752641960535,1793967,713.2635284423828,717.7270613960598,False,NEGATIVE,ASIANPAINT.NS
2015-05-21,719.51025390625,721.9172393213372,709.1878700009266,712.8446819429943,1678041,712.8816528320312,717.8013610839844,False,NEGATIVE,ASIANPAINT.NS
2015-05-22,717.8438110351562,721.917174951692,713.9555563612313,717.473479540629,1039136,712.3724761962891,717.8030590820313,False,NEGATIVE,ASIANPAINT.NS
2015-05-25,705.3458251953125,720.9450633543139,698.4025340554637,718.3529126297,1282826,711.9350433349609,717.3239347017728,False,NEGATIVE,ASIANPAINT.NS
2015-05-26,706.8270874023438,711.9188345938472,699.4671869791493,705.5309836971912,906103,712.800650024414,716.9351625795717,False,NEGATIVE,ASIANPAINT.NS
2015-05-27,702.8926391601562,705.484790374402,698.4026659768017,705.4385130589912,792609,712.5136596679688,716.4336438860212,False,NEGATIVE,ASIANPAINT.NS
2015-05-28,710.3914184570312,713.7705102709441,702.1983554351635,703.7259024753515,1051538,713.1131103515625,716.2252912850215,False,NEGATIVE,ASIANPAINT.NS
2015-05-29,728.6290893554688,735.9889905620206,710.993138052367,711.4560242099532,2583950,714.251806640625,716.6387512207032,False,NEGATIVE,ASIANPAINT.NS
2015-06-01,731.1286010742188,735.7111848035345,727.934675656535,729.3233339681669,713447,714.7308959960938,717.1061657321069,False,NEGATIVE,ASIANPAINT.NS
2015-06-02,702.846435546875,735.3410250248729,699.8839524893733,730.5269971195158,1014316,713.7032958984375,716.6605491638184,False,NEGATIVE,ASIANPAINT.NS
2015-06-03,706.0866088867188,710.0674188387283,694.3292883038413,706.3643293011078,867736,713.7889373779296,716.340126731179,False,NEGATIVE,ASIANPAINT.NS
2015-06-04,703.2164916992188,709.1414559697544,695.9954803414483,707.1973570865786,820596,713.5042572021484,715.9541374655331,False,NEGATIVE,ASIANPAINT.NS
2015-06-05,702.4760131835938,708.7712535517381,696.1807728154492,702.6611789453804,830300,713.4764862060547,715.5690482003348,False,NEGATIVE,ASIANPAINT.NS
2015-06-08,692.4775390625,703.5868043950535,689.7002227293616,702.6610322840073,795683,712.3817596435547,714.9276173909506,False,NEGATIVE,ASIANPAINT.NS
2015-06-09,681.090576171875,695.4400443729076,675.8136636615336,689.5150800622351,998511,711.3333221435547,714.0131027634079,False,NEGATIVE,ASIANPAINT.NS
