Date,Close,High,Low,Open,Volume,SMA_20,SMA_200,Golden Cross,Trend,stock,Adj Close
2015-05-12,77.30611419677734,79.37998438467554,76.56934570814983,78.94337750483851,5078632.0,81.40570247874541,81.40570247874541,False,NEGATIVE,NTPC.NS,
2015-05-13,75.53242492675781,77.8245938407552,73.26754207241649,77.52442719841164,12966652.0,81.07940928141277,81.07940928141277,False,NEGATIVE,NTPC.NS,
2015-05-14,75.88715362548828,78.39762567343118,75.15038514368742,76.0781660108152,11796906.0,80.80613266794305,80.80613266794305,False,NEGATIVE,NTPC.NS,
2015-05-15,74.27720642089844,77.16970940554259,73.92246756285202,76.40564956224301,3487633.0,80.47968635559081,80.47968635559081,False,NEGATIVE,NTPC.NS,
2015-05-18,74.30448913574219,75.15040708520644,73.70415575538335,75.15040708520644,3840517.0,79.88345031738281,80.18562934512184,False,NEGATIVE,NTPC.NS,
2015-05-19,74.27720642089844,75.2595647938267,73.59501477187594,74.44093281638648,3091772.0,79.38408546447754,79.91706466674805,False,NEGATIVE,NTPC.NS,
2015-05-20,74.30448913574219,75.15040708520644,73.9224592570168,74.71380507847206,4418476.0,78.96931228637695,79.67303964366083,False,NEGATIVE,NTPC.NS,
2015-05-21,73.64957427978516,74.82294483450937,73.13110415377643,74.7683677168948,4420716.0,78.48495597839356,79.42206192016602,False,NEGATIVE,NTPC.NS,
2015-05-22,73.86785888671875,74.0588762642357,73.26753069181197,73.45854307279801,5611028.0,78.0988338470459,79.19989379882813,False,NEGATIVE,NTPC.NS,
2015-05-25,73.26754760742188,74.14075654423145,73.13110730577073,73.70414957756061,1798695.0,77.67450942993165,78.9717266376202,False,NEGATIVE,NTPC.NS,
2015-05-26,72.3124771118164,73.4039895564579,72.03960149892212,73.4039895564579,8415657.0,77.24472770690917,78.72508776629412,False,NEGATIVE,NTPC.NS,
2015-05-27,73.26754760742188,74.14075654423145,71.65757003545386,72.31247548892802,8322991.0,76.77947235107422,78.53017561776298,False,NEGATIVE,NTPC.NS,
2015-05-28,73.48583984375,73.97701885868068,73.13109611305697,73.56770301290511,9531386.0,76.3169448852539,78.35623300486597,False,NEGATIVE,NTPC.NS,
