Date,Close,High,Low,Open,Volume,SMA_20,SMA_200,Golden Cross,Trend,stock,Adj Close
2015-04-17,824.8975830078125,881.3974174604024,822.213863861156,881.3974174604024,2706290.0,824.8975830078125,824.8975830078125,False,NEGATIVE,INDUSINDBK.NS,
2015-04-20,794.5287475585938,829.8411363389756,781.5808716724537,823.6732505935871,1937207.0,809.7131652832031,809.7131652832031,False,NEGATIVE,INDUSINDBK.NS,
2015-04-21,788.9259033203125,809.8308507294095,784.6884163106819,799.4725491503124,1671993.0,802.7840779622396,802.7840779622396,False,NEGATIVE,INDUSINDBK.NS,
2015-04-22,796.883056640625,802.2976239383308,772.1643798467503,790.9976574039881,1350387.0,801.3088226318359,801.3088226318359,False,NEGATIVE,INDUSINDBK.NS,
2015-04-23,808.65380859375,819.1533832177325,800.5555226998558,804.934224995255,1373721.0,802.7778198242188,802.7778198242188,False,NEGATIVE,INDUSINDBK.NS,
2015-04-24,782.0989379882812,813.0326314827633,776.1193952334734,813.0326314827633,1042505.0,799.3313395182291,799.3313395182291,False,NEGATIVE,INDUSINDBK.NS,
2015-04-27,775.0363159179688,785.347545182368,763.2655193774657,785.347545182368,1087851.0,795.8606218610491,795.8606218610491,False,NEGATIVE,INDUSINDBK.NS,
2015-04-28,779.4152221679688,786.5718448240319,759.0752474264256,770.4223434104699,1528666.0,793.8049468994141,793.8049468994141,False,NEGATIVE,INDUSINDBK.NS,
2015-04-29,784.5000610351562,792.8808915484879,770.3280328414711,780.4509183333313,1119768.0,792.7710706922743,792.7710706922743,False,NEGATIVE,INDUSINDBK.NS,
2015-04-30,775.74267578125,786.6660110336769,772.2114363089441,781.6751465998038,1960263.0,791.0682312011719,791.0682312011719,False,NEGATIVE,INDUSINDBK.NS,
2015-05-04,792.5983276367188,799.9432928150883,778.9442043338126,779.6975237797446,868300.0,791.2073308771306,791.2073308771306,False,NEGATIVE,INDUSINDBK.NS,
2015-05-05,787.7488403320312,796.6005030411617,783.0875930274849,790.8563193768631,672307.0,790.9191233317057,790.9191233317057,False,NEGATIVE,INDUSINDBK.NS,
2015-05-06,756.1090087890625,790.0559794878702,752.3894250426797,788.1726517656107,985312.0,788.2414222130409,788.2414222130409,False,NEGATIVE,INDUSINDBK.NS,
2015-05-07,748.81103515625,753.3310097196489,740.147717049555,750.2235307994744,1753181.0,785.4249659946987,785.4249659946987,False,NEGATIVE,INDUSINDBK.NS,
2015-05-08,763.1715087890625,768.1152441962984,753.3311096740251,756.2031730347368,1407570.0,783.9414021809896,783.9414021809896,False,NEGATIVE,INDUSINDBK.NS,
2015-05-11,771.8347778320312,774.9893286587248,758.9810436196017,768.7743703980813,1423467.0,783.1847381591797,783.1847381591797,False,NEGATIVE,INDUSINDBK.NS,
2015-05-12,753.5665283203125,774.8952384284979,747.8694732781036,774.8952384284979,1358401.0,781.4424905215992,781.4424905215992,False,NEGATIVE,INDUSINDBK.NS,
2015-05-13,769.5276489257812,771.5993207270487,748.7639741684359,758.1334827561077,1074443.0,780.7805548773872,780.7805548773872,False,NEGATIVE,INDUSINDBK.NS,
2015-05-14,769.009765625,772.164316366659,753.6135280029308,769.5276692203264,680132.0,780.1610396535773,780.1610396535773,False,NEGATIVE,INDUSINDBK.NS,
2015-05-15,784.7354736328125,792.2217120409733,770.2809578656363,772.1172136977656,1234559.0,780.389761352539,780.389761352539,False,NEGATIVE,INDUSINDBK.NS,
2015-05-18,796.9772338867188,802.5801456928767,779.273963725966,781.3456358401678,995778.0,778.9937438964844,781.1796409970239,False,NEGATIVE,INDUSINDBK.NS,
2015-05-19,796.3650512695312,808.6066801179053,793.0692281180459,796.6475389018825,816702.0,779.0855590820313,781.8698869185014,False,NEGATIVE,INDUSINDBK.NS,
2015-05-20,801.8739013671875,806.0643173154422,797.8247579970893,799.4255981595759,750251.0,779.732958984375,782.73962667714,False,NEGATIVE,INDUSINDBK.NS,
2015-05-21,798.71923828125,805.875860096382,789.161327821615,805.875860096382,503688.0,779.8247680664062,783.4054438273112,False,NEGATIVE,INDUSINDBK.NS,
